area;"Under
18 years";"18 to 24
years";"25 to 34
years";"35 to 44
years";"45 to 54
years";"55 to 64
years";"65 to 74
years";"75 years
and over"
10180;24,0;9,9;13,3;13,3;14,6;11,8;7,0;6,0
10420;24,1;10,1;13,5;13,4;14,5;11,7;6,9;5,9
10500;24,2;10,1;13,7;13,5;14,5;11,5;6,7;5,8
10580;23,7;13,0;13,8;11,5;13,5;10,8;7,2;6,5
10740;22,4;10,6;11,7;12,7;15,5;13,0;7,3;6,9
10780;25,9;11,3;12,6;12,3;13,8;12,1;6,8;5,2
10900;21,4;10,8;12,1;13,0;15,6;13,0;7,1;6,9
11020;24,6;9,8;13,8;12,8;14,5;12,2;6,9;5,4
11100;25,4;8,8;13,4;12,6;14,4;11,9;7,6;5,9
11180;22,8;8,9;11,2;13,4;15,8;12,7;7,5;7,7
11260;21,1;9,3;11,1;12,2;14,8;13,7;8,7;9,0
11300;26,3;10,3;14,2;12,5;13,9;11,0;6,3;5,5
11340;17,8;29,0;14,3;9,3;10,4;9,2;5,0;5,0
11460;26,7;10,6;15,0;13,5;15,5;11,5;4,7;2,7
11500;23,1;9,0;12,4;13,2;14,3;12,6;8,1;7,2
11540;24,0;8,4;11,4;13,3;14,8;12,9;8,6;6,5
11700;20,9;16,9;14,3;12,7;13,7;11,4;5,6;4,5
12020;22,9;10,9;12,5;12,3;14,3;12,7;8,0;6,4
12060;25,6;8,2;13,2;14,0;16,0;11,3;6,1;5,6
12100;20,3;7,8;12,0;12,9;14,4;14,1;9,8;8,6
12220;20,9;21,4;14,3;11,7;11,8;9,9;5,8;4,3
12260;26,5;9,2;14,5;15,8;14,7;10,5;5,4;3,6
12420;23,3;9,3;11,4;13,2;16,3;12,4;7,7;6,5
12540;22,5;20,5;13,8;12,3;12,2;9,5;5,4;3,7
12580;24,8;10,1;13,2;12,6;14,7;12,3;7,2;5,3
12620;25,3;11,7;16,9;15,1;13,3;9,6;4,7;3,4
12700;30,3;11,2;14,5;12,9;12,9;9,2;5,2;3,8
12940;23,0;9,9;13,4;13,4;15,6;12,2;6,8;5,9
12980;19,7;13,2;11,5;12,3;15,7;13,2;7,6;6,9
13020;17,3;6,5;8,2;10,6;15,9;16,5;12,4;12,6
13140;24,7;11,7;14,6;12,8;14,1;11,4;6,2;4,6
13380;24,2;9,3;11,5;12,4;14,8;12,9;7,6;7,2
13460;22,2;8,5;11,4;12,2;15,6;13,9;8,5;7,7
13740;24,4;9,9;13,4;12,6;14,9;11,7;6,9;6,2
13780;21,0;14,2;13,0;11,9;13,6;13,0;7,3;6,0
13820;23,0;7,4;12,6;13,5;14,5;14,2;8,7;6,2
13900;23,4;8,7;13,3;12,0;15,2;13,0;7,5;6,9
13980;20,9;11,8;11,2;11,3;15,8;12,7;8,0;8,3
14020;23,9;9,1;13,8;13,4;14,6;12,3;7,1;5,9
14060;22,9;9,7;14,1;12,1;15,0;12,5;6,8;6,9
14260;17,1;25,1;11,8;11,3;11,6;10,8;6,9;5,4
14460;18,4;22,8;13,4;10,8;12,2;10,6;6,3;5,4
14500;22,7;17,3;13,8;12,4;13,3;10,3;5,3;4,9
14540;27,9;9,1;14,2;13,7;13,4;10,8;6,1;4,8
14740;21,6;10,4;13,6;13,8;15,5;12,0;6,7;6,4
14860;21,3;14,2;13,4;13,9;15,1;12,0;5,7;4,3
15180;22,7;15,5;13,7;12,4;13,3;11,0;6,5;5,0
15260;22,5;10,1;12,5;12,2;15,4;14,1;7,6;5,6
15380;24,8;7,9;11,6;14,3;16,3;11,7;6,8;6,7
15500;33,0;9,8;12,8;12,7;11,3;9,3;6,1;5,0
15540;24,2;8,4;11,5;12,7;14,8;13,5;8,8;6,1
15940;21,6;10,3;11,6;12,3;15,6;12,8;7,7;8,1
15980;23,5;10,6;11,4;13,7;14,5;11,9;7,6;7,0
16020;21,1;13,3;12,8;13,1;15,9;12,3;6,3;5,3
16180;22,9;8,6;11,0;12,3;15,4;13,6;8,3;7,9
16220;19,5;7,7;10,6;11,4;13,2;14,1;13,1;10,4
16300;22,2;12,7;12,2;11,7;14,1;12,2;7,7;7,1
16580;21,4;8,5;12,0;12,6;15,2;13,8;8,7;7,8
16620;23,9;9,6;14,2;12,1;15,0;12,7;6,4;6,1
16700;24,5;9,2;13,3;13,0;14,7;11,7;7,0;6,6
16740;20,0;21,5;14,4;10,8;12,2;10,1;5,6;5,4
16820;21,6;7,5;12,1;12,9;15,4;14,6;8,7;7,3
16860;23,3;11,1;15,1;13,1;14,1;11,8;6,8;4,7
16940;25,9;8,9;14,5;15,7;14,4;10,5;5,8;4,3
16980;20,4;14,0;13,6;12,1;14,0;12,2;7,5;6,2
17020;22,3;9,5;12,5;13,1;14,7;13,1;8,1;6,6
17140;24,4;9,7;13,5;12,4;14,8;12,7;7,0;5,5
17300;25,1;9,4;14,4;14,0;14,6;11,1;6,1;5,3
17420;21,0;14,7;12,1;10,6;13,1;13,1;7,8;7,6
17460;24,9;9,5;12,9;13,3;15,3;11,9;6,6;5,7
17660;27,6;12,3;16,2;12,8;12,2;9,2;5,6;4,0
17780;22,9;10,1;12,0;13,6;14,5;12,4;8,6;5,9
17820;23,2;8,4;11,7;12,8;15,7;13,1;7,6;7,6
17860;24,7;8,7;12,1;12,5;14,3;13,2;8,3;6,2
17900;21,0;27,4;14,6;10,1;10,2;8,0;4,7;3,9
17980;25,9;10,7;13,8;13,1;15,1;11,2;5,8;4,3
18020;21,1;20,5;14,9;11,4;12,4;10,1;5,2;4,5
18140;23,5;11,9;13,8;13,2;14,3;11,8;6,6;4,9
18580;25,4;11,2;14,2;12,5;13,8;11,2;6,5;5,3
18700;25,2;7,9;12,7;13,6;14,3;12,2;7,8;6,2
18880;24,8;10,4;14,7;14,1;14,5;11,0;5,9;4,7
19060;25,9;9,9;13,0;12,1;14,3;12,0;7,0;5,8
19100;17,8;23,0;12,2;10,0;12,5;12,4;6,3;5,7
19140;22,3;10,2;13,8;12,0;15,9;11,8;7,8;6,2
19180;18,8;11,9;11,6;12,6;14,3;13,2;9,4;8,3
19260;27,8;9,4;14,9;15,0;14,2;9,8;5,1;3,7
19340;28,1;9,4;13,0;14,3;13,7;10,5;6,6;4,4
19380;24,4;8,1;11,9;11,8;14,5;13,0;8,5;7,8
19460;21,3;8,1;10,3;12,1;15,7;14,5;9,6;8,3
19500;23,6;8,7;12,6;12,2;14,8;13,1;7,8;7,2
19660;23,0;10,1;12,1;12,2;14,8;12,8;7,8;7,1
19740;23,8;8,4;12,3;13,5;15,3;12,6;8,3;6,0
19780;22,8;9,3;11,7;11,6;14,7;13,5;8,2;8,2
19820;18,9;9,0;10,3;11,4;15,0;14,3;10,9;10,2
20020;24,9;8,6;15,3;14,8;14,8;11,4;5,7;4,4
20100;26,0;8,7;15,1;14,0;14,1;11,0;5,9;5,2
20220;24,3;8,6;11,8;13,8;15,7;12,6;6,9;6,3
20260;23,9;8,1;12,1;12,9;14,6;13,0;8,7;6,7
20500;24,9;11,0;12,3;12,7;14,3;11,3;7,8;5,7
20740;23,8;10,6;11,9;11,7;14,6;12,2;7,6;7,7
20940;20,5;11,5;11,8;11,3;15,3;14,0;7,8;7,7
21060;22,1;12,6;15,3;13,6;13,7;11,6;6,2;5,0
21140;22,1;13,5;13,0;11,8;14,2;12,2;6,8;6,5
21300;29,3;10,9;13,9;13,1;12,9;9,5;5,6;4,8
21340;25,7;9,7;13,9;13,2;14,9;11,0;6,5;5,0
21500;28,4;8,9;12,8;13,1;13,5;11,1;6,4;5,7
21660;22,4;8,9;11,8;12,3;15,7;13,2;7,7;8,0
21780;30,1;11,2;13,3;13,1;12,7;9,3;5,5;4,7
21820;22,7;11,6;11,7;12,1;14,7;12,6;7,3;7,3
22020;19,8;12,6;13,1;11,6;13,7;14,2;8,1;6,9
22140;23,3;9,7;12,3;12,3;15,3;12,8;7,5;6,8
22180;25,6;13,4;16,6;12,8;13,9;11,1;4,3;2,3
22220;22,2;16,6;16,0;11,9;12,7;10,2;5,1;5,3
22380;29,0;9,8;13,8;11,7;14,0;11,0;6,1;4,7
22420;27,2;12,2;16,1;12,8;13,0;9,6;5,4;3,8
22500;26,7;11,2;14,9;13,3;12,7;9,9;6,3;5,0
22520;23,6;17,7;13,5;11,5;13,4;11,4;5,5;3,3
22540;25,0;8,9;11,8;12,9;15,3;12,4;7,3;6,4
22660;24,5;9,4;12,0;12,9;14,4;13,3;7,9;5,6
22900;21,8;9,9;11,1;12,5;14,6;13,1;9,4;7,6
23060;22,7;9,1;12,1;12,7;15,6;12,9;7,4;7,6
23420;21,4;13,9;14,1;12,2;14,2;12,3;6,6;5,2
23460;25,5;9,0;12,2;12,8;14,4;12,1;8,0;6,0
23540;26,7;9,2;12,9;12,8;14,4;11,8;6,4;5,9
23580;29,8;11,7;14,3;12,3;12,4;9,5;5,3;4,7
24020;23,0;8,5;11,5;13,4;14,3;13,5;8,7;7,1
24140;18,1;22,5;14,6;10,4;12,1;11,1;6,1;5,0
24220;27,9;9,3;13,4;14,3;13,5;10,5;6,4;4,7
24300;20,8;8,1;11,1;13,1;16,4;14,2;8,7;7,6
24340;24,9;10,0;13,2;12,6;14,5;11,8;7,4;5,7
24500;21,3;17,9;13,5;10,5;13,3;11,1;6,1;6,3
24540;23,5;9,9;13,1;11,4;14,3;12,9;7,8;7,1
24580;25,9;10,1;13,4;12,8;14,8;11,3;6,1;5,5
24660;22,9;10,1;12,8;11,1;14,7;12,7;8,2;7,4
24780;27,8;11,0;13,8;13,7;13,5;10,6;5,6;4,0
24860;24,5;9,2;13,1;13,2;15,6;11,9;6,6;5,9
25060;23,5;10,4;12,5;13,9;14,6;12,0;7,2;6,0
25180;22,6;17,3;14,4;12,4;12,8;10,5;5,7;4,5
25260;23,4;11,2;12,8;13,4;14,3;11,9;7,4;5,7
25420;24,4;10,4;13,6;12,6;14,8;11,8;7,3;5,1
25500;23,6;8,0;12,8;14,3;15,4;12,5;7,4;6,0
25540;27,8;11,6;16,7;14,3;13,3;8,4;4,5;3,4
25620;22,1;9,4;12,4;13,0;15,4;13,2;7,5;7,0
25860;20,3;21,6;11,6;11,1;12,5;10,2;6,5;6,2
25980;22,3;9,6;11,7;13,3;16,1;12,6;7,2;7,1
